24,7,40,29,36.728,27.186,7.6891
26,28,39,22,22.071,66.373,7.3247
43,13,12,8,45.071,67.818,15.288
16,5,24,9,10.828,30.061,2.3301
43,24,14,48,64.456,71.79,23.274
9,14,14,24,13.243,1.7977,2.2373
17,14,37,43,40.113,47.588,10.396
27,10,15,40,36.971,57.072,10.773
21,47,45,5,53.042,99.241,34.574
6,36,33,43,42.627,60.699,13.042
38,45,29,43,14.071,15.623,2.6564
7,3,18,15,16.556,93.541,9.246
16,40,24,46,12.828,96.583,7.7571
40,48,33,5,45.314,67.347,15.26
46,47,45,31,16.414,13.663,3.0481
43,39,40,15,40.071,51.172,10.838
13,4,23,19,22.657,66.769,7.5639
10,28,37,5,46.485,67.102,15.597
48,11,27,22,36.971,47.956,9.6228
20,15,30,31,27.799,18.196,5.3654
40,8,15,35,47.899,31.33,10.435
28,44,37,4,28.728,8.4024,5.11
29,29,6,38,39.213,39,9.2375
33,47,10,32,47.799,26.616,9.9534
4,42,24,22,27.556,68.825,9.4927
48,28,43,36,16.657,76.281,6.4879
12,24,20,43,29.243,11.834,5.3485
43,40,10,34,61.284,72.312,22.318
38,10,8,42,61.213,55.405,17.456
18,35,6,32,39.971,27.124,8.3631
38,33,13,6,46.971,22.223,9.3942
43,4,24,44,51.385,18.314,9.9278
13,6,4,6,9,82.993,3.973
43,40,47,9,32.657,59.094,9.7752
4,26,44,3,54.799,28.804,11.65
14,4,18,4,4,31.284,0.87104
34,12,36,40,28.828,91.046,15.15
43,29,37,31,43.314,98.974,28.014
34,27,6,6,46.314,49.704,12.307
48,13,17,13,42.899,44.887,10.779
24,7,20,34,31.142,14.99,5.8478
10,20,20,30,36.728,18.035,7.0788
4,37,24,23,39.627,12.054,7.261
48,33,11,4,52.071,74.229,19.578
30,4,8,15,27.728,92.593,15.125
43,30,23,22,58.042,14.458,10.85
44,28,6,35,73.527,95.912,43.664
39,3,29,30,31.728,53.188,8.7973
44,26,27,28,55.142,5.6096,9.594
19,26,28,11,18.728,82.015,8.1097
36,42,35,34,8.4142,87.051,4.04
16,47,28,26,28.899,18.733,5.6039
34,47,44,23,28.728,80.235,12.023
47,8,9,33,63.728,5.0633,11.041
19,38,28,10,32.314,47.409,8.3571
29,12,40,25,33.071,1.2347,5.5634
6,34,26,5,43.142,25.855,8.92
20,11,32,33,32.284,76.31,12.581
6,24,41,4,48.556,18.6,9.4046
48,25,8,12,61.971,73.599,23.054
44,23,28,16,42.556,17.89,8.1919
30,9,18,4,14.071,48.858,3.7016
